command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force,total_base_salary,total_regular_hours,total_regular_paid,total_ot_hours,total_ot_paid,total_other_paid,total_total_paid,total_years_on_force
CEIS FRAUD COLLISION INV SQUAD,7,108810.14285714286,2086,107571,362.57142857142856,25666,18483.428571428572,151720.42857142858,20.672113502935417,761671,14602,752997,2538,179662,129384,1062043,144.70479452054792
CEIS JFK TASK FORCE,6,110738.33333333333,2080,110426.33333333333,638,40269,18057,168752.33333333334,19.392313546423136,664430,12480,662558,3828,241614,108342,1012514,116.35388127853882
CEIS JOINT ORGANIZED CRIME TASK FORCE,24,110071.16666666667,2081.75,109255,444.75,30537.833333333332,17665.083333333332,157457.91666666666,19.441062595129374,2641708,49962,2622120,10674,732908,423962,3778990,466.585502283105
CEIS MAJOR INVESTIGATION SQUAD,32,104631.46875,2083.90625,104157.375,466.625,30999.25,17281.15625,152437.78125,18.55531535388128,3348207,66685,3333036,14932,991976,552997,4878009,593.770091324201
CEIS MONEY LAUNDERING UNIT,9,100102.33333333333,2084.6666666666665,99940.88888888889,597,32674.88888888889,17740,150355.77777777778,18.26645104008118,900921,18762,899468,5373,294074,159660,1353202,164.3980593607306
CEIS TRADEMARK INFRINGEMENT UNIT,8,100850.375,2090.5,98125,477.25,30883.375,17276.875,146285.25,19.913470319634705,806803,16724,785000,3818,247067,138215,1170282,159.30776255707764
CENTRAL PARK PRECINCT,115,89366.4695652174,2072.2869565217393,87911.53913043479,101.26086956521739,5003.913043478261,17939.217391304348,110854.6695652174,13.345947984911668,10277144,238313,10109827,11645,575450,2063010,12748287,1534.7840182648417
CENTRAL PK DET SQ,4,104065.25,2080,102585.75,392.75,24614,19132.5,146332.25,19.68156392694064,416261,8320,410343,1571,98456,76530,585329,78.72625570776256
CENTRAL RECORDS DIV,2,122435.5,2080,121371.5,20.5,1772.5,14916,138060,15.667180365296804,244871,4160,242743,41,3545,29832,276120,31.33436073059361
CENTRAL ROBBERY DIVISION,25,107635.76,2081.4,106664.68,508.64,26379.8,18266.32,151310.8,17.302310502283103,2690894,52035,2666617,12716,659495,456658,3782770,432.5577625570776
CEREMONIAL UNIT,15,98654.73333333334,2085.4666666666667,98026.8,167.26666666666668,11842.4,17159.866666666665,127029.06666666667,15.626917808219178,1479821,31282,1470402,2509,177636,257398,1905436,234.40376712328765
CHAPLAINS UNIT,2,116417.5,2080,115370.5,174,13770.5,13738,142879,16.916552511415524,232835,4160,230741,348,27541,27476,285758,33.83310502283105
CHARACTER ASSESSMENT SECTION,83,97575.78313253012,2065.0963855421687,96615.89156626505,247.49397590361446,15455.951807228916,16814.710843373494,128886.55421686747,15.720061066182547,8098790,171403,8019119,20542,1282844,1395621,10697584,1304.7650684931514
CHIEF CRIME CONTROL STRATEGIES,23,114479.56521739131,2089.2608695652175,112653.43478260869,298.2608695652174,18599.17391304348,15578.478260869566,146831.08695652173,15.93346734167163,2633030,48053,2591029,6860,427781,358305,3377115,366.4697488584475
CHIEF OF DEPARTMENT,48,112427.0625,2089.4375,111997.85416666667,354.2708333333333,21760.625,16505.291666666668,150263.77083333334,18.41041191019787,5396499,100293,5375897,17005,1044510,792254,7212661,883.6997716894978
CHIEF OF DEPARTMENT OFFICE,4,133496.75,2080,126626.75,295,17402.5,17615.75,161645,18.446004566210046,533987,8320,506507,1180,69610,70463,646580,73.78401826484018
CHIEF OF SPECIAL OPERATIONS,31,102876.32258064517,2065.8064516129034,101262.25806451614,212.25806451612902,10767.322580645161,18740.74193548387,130770.32258064517,16.759876270437466,3189166,64040,3139130,6580,333787,580963,4053880,519.5561643835615
CID ADMINISTRATION,2,123196,2101,123609.5,154,10251,19347,153207.5,23.1685502283105,246392,4202,247219,308,20502,38694,306415,46.337100456621
CID CRIME STOPPERS UNIT,23,101439.65217391304,2080,100876.95652173914,450.4782608695652,23672,18592.391304347828,143141.34782608695,17.109440142942223,2333112,47840,2320170,10361,544456,427625,3292251,393.51712328767115
CID TACTICAL TRAINING,1,109360,2080,109052,0,0,18874,127926,36.66027397260274,109360,2080,109052,0,0,18874,127926,36.66027397260274
